"","Rank","Song","Artist","Year"
"1016","16","The Love You Save","","1970"
"1017","17","Cracklin' Rosie","Neil Diamondand","1970"
"1018","18","Candida","Dawnand","1970"
"1019","19","Thank You (Falettinme Be Mice Elf Agin)","Sly and the Family Stoneand","1970"
"1020","20","Spill the Wine","Eric Burdon and Warand","1970"
"1021","21","O-o-h Child","Five Stairstepsand","1970"
"1022","22","Spirit in the Sky","Norman Greenbaumand","1970"
"1023","23","Lay Down (Candles in the Rain)","Melanieand","1970"
"1024","24","Ball of Confusion (That's What the World Is Today)","The Temptationsand","1970"
"1025","25","Love on a Two-Way Street","The Momentsand","1970"
"1026","26","Which Way You Goin' Billy?","The Poppy Familyand","1970"
"1027","27","All Right Now","Freeand","1970"
"1028","28","I Want You Back","The Jackson 5and","1970"
"1029","29","Julie, Do Ya Love Me","Bobby Shermanand","1970"
"1030","30","Green-Eyed Lady","Sugarloafand","1970"
"1031","31","Signed, Sealed, Delivered I'm Yours","Stevie Wonderand","1970"
"1032","32","Ride Captain Ride","Blues Imageand","1970"
"1033","33","Venus","Shocking Blueand","1970"
"1034","34","Instant Karma!","John Lennonand","1970"
"1035","35","Patches","Clarence Carterand","1970"
"1036","36","Lookin' out My Back Door","Creedence Clearwater Revivaland","1970"
"1037","37","Rainy Night in Georgia","Brook Bentonand","1970"
"1038","38","Something's Burning","Kenny Rogers and The First Editionand","1970"
"1039","39","Give Me Just a Little More Time","Chairmen of the Boardand","1970"
"1040","40","Love Grows (Where My Rosemary Goes)","Edison Lighthouseand","1970"
"1041","41","The Long and Winding Road","The Beatlesand","1970"
"1042","42","Snowbird","Anne Murrayand","1970"
"1043","43","Reflections of My Life","Marmaladeand","1970"
"1044","44","Hey There Lonely Girl","Eddie Holmanand","1970"
"1045","45","The Rapper","The Jaggerzand","1970"
"1046","46","He Ain't Heavy, He's My Brother","The Holliesand","1970"
"1047","47","Tighter, Tighter","Alive N Kickin'and","1970"
"1048","48","Come and Get It","Badfingerand","1970"
"1049","49","Cecilia","Simon and Garfunkeland","1970"
"1050","50","Love Land","Charles Wright and the Watts 103rd Street Rhythm Bandand","1970"
"1051","51","Turn Back the Hands of Time","Tyrone Davisand","1970"
"1052","52","Lola","The Kinksand","1970"
"1053","53","In the Summertime","Mungo Jerryand","1970"
"1054","54","Indiana Wants Me","R. Dean Taylorand","1970"
"1055","55","(I Know) I'm Losing You","Rare Earthand","1970"
"1056","56","Easy Come, Easy Go","Bobby Shermanand","1970"
"1057","57","Express Yourself","Charles Wright and the Watts 103rd Street Rhythm Bandand","1970"
"1058","58","Still Water (Love)","The Four Topsand","1970"
"1059","59","Make Me Smile","Chicagoand","1970"
"1060","60","The House of the Rising Sun","Frijid Pinkand","1970"
"1061","61","25 or 6 to 4","Chicagoand","1970"
"1062","62","My Baby Loves Lovin'","White Plainsand","1970"
"1063","63","Love or Let Me Be Lonely","The Friends of Distinctionand","1970"
"1064","64","United We Stand","The Brotherhood of Manand","1970"
"1065","65","We've Only Just Begun","The Carpentersand","1970"
"1066","66","Arizona","Mark Lindsayand","1970"
"1067","67","Fire and Rain","James Taylorand","1970"
"1068","68","Groovy Situation","Gene Chandlerand","1970"
"1069","69","Evil Ways","Santanaand","1970"
"1070","70","No Time","The Guess Whoand","1970"
"1071","71","Didn't I (Blow Your Mind This Time)","The Delfonicsand","1970"
"1072","72","The Wonder of You","Elvis Presleyand","1970"
"1073","73","Up Around the Bend","Creedence Clearwater Revivaland","1970"
"1074","74","(If You Let Me Make Love To You Then) Why Can't I Touch You?","Ronnie Dysonand","1970"
"1075","75","I Just Can't Help Believing","B.J. Thomasand","1970"
"1076","76","It's a Shame","The Spinnersand","1970"
"1077","77","For the Love of Him","Bobbi Martinand","1970"
"1078","78","Mississippi Queen","Mountainand","1970"
"1079","79","I Want to Take You Higher","Ike and Tina Turnerand","1970"
"1080","80","The Letter","Joe Cockerand","1970"
"1081","81","Ma Belle Amie","Tee-Setand","1970"
"1082","82","The Bells","The Originalsand","1970"
"1083","83","Yellow River","Christieand","1970"
"1084","84","Somebody's Been Sleeping","100 Proof (Aged in Soul)and","1970"
"1085","85","Vehicle","The Ides of Marchand","1970"
"1086","86","Gimme Dat Ding","The Pipkinsand","1970"
"1087","87","Lay a Little Lovin' on Me","Robin McNamaraand","1970"
"1088","88","Up the Ladder to the Roof","The Supremesand","1970"
"1089","89","Travelin' Band","Creedence Clearwater Revivaland","1970"
"1090","90","Come Saturday Morning","The Sandpipersand","1970"
"1091","91","Psychedelic Shack","The Temptationsand","1970"
"1092","92","Without Love (There Is Nothing)","Tom Jonesand","1970"
"1093","93","Are You Ready?","Pacific Gas and Electricand","1970"
"1094","94","Woodstock","Crosby, Stills, Nash and Youngand","1970"
"1095","95","I'll Never Fall in Love Again","Dionne Warwickand","1970"
"1096","96","Look What They've Done to My Song Ma","The New Seekersand","1970"
"1097","97","Walk A Mile In My Shoes","Joe Southand","1970"
"1098","98","The Thrill Is Gone","B.B. Kingand","1970"
"1099","99","It's Only Make Believe","Glen Campbelland","1970"
"1100","100","Call Me","Aretha Franklinand","1970"
"1101","1","Joy to the World","Three Dog Nightand","1971"
"1102","2","Maggie May/Reason to Believe","Rod Stewartand","1971"
"1103","3","It's Too Late/I Feel the Earth Move","Carole Kingand","1971"
"1104","4","One Bad Apple","The Osmondsand","1971"
"1105","5","How Can You Mend a Broken Heart","Bee Geesand","1971"
"1106","6","Indian Reservation (The Lament of the Cherokee Reservation Indian)","Raidersand","1971"
"1107","7","Go Away Little Girl","Donny Osmondand","1971"
"1108","8","Take Me Home, Country Roads","John Denverand","1971"
"1109","9","Just My Imagination (Running Away with Me)","The Temptationsand","1971"
"1110","10","Knock Three Times","Tony Orlando and Dawnand","1971"
"1111","11","Me and Bobby McGee","Janis Joplinand","1971"
"1112","12","Tired of Being Alone","Al Greenand","1971"
"1113","13","Want Ads","Honey Coneand","1971"
"1114","14","Smiling Faces Sometimes","The Undisputed Truthand","1971"
"1115","15","Treat Her Like a Lady","Cornelius Brothers and Sister Roseand","1971"
"1116","16","Brown Sugar","The Rolling Stonesand","1971"
"1117","17","You've Got a Friend","James Taylorand","1971"
"1118","18","Mr. Big Stuff","Jean Knightand","1971"
"1119","19","Do You Know What I Mean","Lee Michaelsand","1971"
"1120","20","The Night They Drove Old Dixie Down","Joan Baezand","1971"
"1121","21","What's Going On","Marvin Gayeand","1971"
"1122","22","Uncle Albert/Admiral Halsey","Paul and Linda McCartneyand","1971"
"1123","23","Ain't No Sunshine","Bill Withersand","1971"
"1124","24","Signs","Five Man Electrical Bandand","1971"
"1125","25","She's a Lady","Tom Jonesand","1971"
"1126","26","I've Found Someone of My Own","The Free Movementand","1971"
"1127","27","Superstar","Murray Head and The Trinidad Singersand","1971"
"1128","28","Amos Moses","Jerry Reedand","1971"
"1129","29","Temptation Eyes","The Grass Rootsand","1971"
"1130","30","Superstar","The Carpentersand","1971"
"1131","31","My Sweet Lord/Isn't It A Pity","George Harrisonand","1971"
"1132","32","Sweet and Innocent","Donny Osmondand","1971"
"1133","33","Put Your Hand in the Hand","Oceanand","1971"
"1134","34","Chick-A-Boom (Don't Ya Jes' Love It)","Daddy Dewdropand","1971"
"1135","35","For All We Know","The Carpentersand","1971"
"1136","36","If You Could Read My Mind","Gordon Lightfootand","1971"
"1137","37","Help Me Make It Through the Night","Sammi Smithand","1971"
"1138","38","Rainy Days and Mondays","The Carpentersand","1971"
"1139","39","Gypsys, Tramps & Thieves","Cherand","1971"
"1140","40","Never Can Say Goodbye","The Jackson 5and","1971"
"1141","41","Rose Garden","Lynn Andersonand","1971"
"1142","42","Don't Pull Your Love","Hamilton, Joe Frank and Reynoldsand","1971"
"1143","43","It Don't Come Easy","Ringo Starrand","1971"
"1144","44","Mr. Bojangles","Nitty Gritty Dirt Bandand","1971"
"1145","45","I Love You for All Seasons","The Fuzzand","1971"
"1146","46","Whatcha See is Whatcha Get","The Dramaticsand","1971"
"1147","47","That's the Way I've Always Heard It Should Be","Carly Simonand","1971"
"1148","48","If You Really Love Me","Stevie Wonderand","1971"
"1149","49","Spanish Harlem","Aretha Franklinand","1971"
"1150","50","I Don't Know How to Love Him","Helen Reddyand","1971"
"1151","51","Yo-Yo","The Osmondsand","1971"
"1152","52","Bridge over Troubled Water","Aretha Franklinand","1971"
"1153","53","Doesn't Somebody Want to Be Wanted","The Partridge Familyand","1971"
"1154","54","Draggin' the Line","Tommy Jamesand","1971"
"1155","55","Proud Mary","Ike and Tina Turnerand","1971"
"1156","56","Beginnings/Colour My World","Chicagoand","1971"
"1157","57","Stay Awhile","The Bellsand","1971"
"1158","58","Sweet City Woman","The Stampedersand","1971"
"1159","59","Me and You and a Dog Named Boo","Loboand","1971"
"1160","60","Another Day/Oh Woman, Oh Why","Paul McCartneyand","1971"
"1161","61","If","Breadand","1971"
"1162","62","Mercy Mercy Me (The Ecology)","Marvin Gayeand","1971"
"1163","63","One Toke Over the Line","Brewer and Shipleyand","1971"
"1164","64","She's Not Just Another Woman","8th Dayand","1971"
"1165","65","Bring the Boys Home","Freda Payneand","1971"
"1166","66","I Just Want to Celebrate","Rare Earthand","1971"
"1167","67","Never Ending Song of Love","Delaney and Bonnie and Friendsand","1971"
"1168","68","Easy Loving","Freddie Hartand","1971"
"1169","69","Liar","Three Dog Nightand","1971"
"1170","70","Stick-Up","Honey Coneand","1971"
"1171","71","Chirpy Chirpy Cheep Cheep","Mac and Katie Kissoonand","1971"
"1172","72","(Where Do I Begin?) Love Story","Andy Williamsand","1971"
"1173","73","Wild World","Cat Stevensand","1971"
"1174","74","When You're Hot, You're Hot","Jerry Reedand","1971"
"1175","75","Funky Nassau","The Beginning of the Endand","1971"
"1176","76","If Not for You","Olivia Newton-Johnand","1971"
"1177","77","Groove Me","King Floydand","1971"
"1178","78","Watching Scotty Grow","Bobby Goldsboroand","1971"
"1179","79","Woodstock","Matthews Southern Comfortand","1971"
"1180","80","Amazing Grace","Judy Collinsand","1971"
"1181","81","I Hear You Knocking","Dave Edmundsand","1971"
"1182","82","Lonely Days","Bee Geesand","1971"
"1183","83","Here Comes That Rainy Day Feeling Again","The Fortunesand","1971"
"1184","84","Won't Get Fooled Again","The Whoand","1971"
"1185","85","Trapped By a Thing Called Love","Denise LaSalleand","1971"
"1186","86","Mama's Pearl","The Jackson 5and","1971"
"1187","87","Timothy","The Buoysand","1971"
"1188","88","I Woke Up In Love This Morning","The Partridge Familyand","1971"
"1189","89","Theme from Shaft","Isaac Hayesand","1971"
"1190","90","If I Were Your Woman","Gladys Knight and the Pipsand","1971"
"1191","91","I Am...I Said","Neil Diamondand","1971"
"1192","92","The Wedding Song (There Is Love)","Paul Stookeyand","1971"
"1193","93","Don't Knock My Love","Wilson Pickettand","1971"
"1194","94","Love Her Madly","The Doorsand","1971"
"1195","95","Here Comes the Sun","Richie Havensand","1971"
"1196","96","Sweet Mary","Wadsworth Mansionand","1971"
"1197","97","Right on the Tip of My Tongue","Brenda and the Tabulationsand","1971"
"1198","98","One Less Bell to Answer","The 5th Dimensionand","1971"
"1199","99","Riders on the Storm","The Doorsand","1971"
"1200","100","It's Impossible","Perry Comoand","1971"
"1201","1","The First Time Ever I Saw Your Face","Roberta Flackand","1972"
"1202","2","Alone Again (Naturally)","Gilbert O'Sullivanand","1972"
"1203","3","American Pie","Don McLeanand","1972"
"1204","4","Without You","Harry Nilssonand","1972"
"1205","5","The Candy Man","Sammy Davis Jr.and","1972"
"1206","6","I Gotcha","Joe Texand","1972"
"1207","7","Lean on Me","Bill Withersand","1972"
"1208","8","Baby, Don't Get Hooked on Me","Mac Davisand","1972"
"1209","9","Brand New Key","Melanieand","1972"
"1210","10","Daddy Don't You Walk So Fast","Wayne Newtonand","1972"
"1211","11","Let's Stay Together","Al Greenand","1972"
"1212","12","Brandy (You're a Fine Girl)","Looking Glassand","1972"
"1213","13","Oh Girl","The Chi-Litesand","1972"
"1214","14","Nice to Be with You","Galleryand","1972"
"1215","15","My Ding-a-Ling","Chuck Berryand","1972"
"1216","16","(If Loving You Is Wrong) I Don't Want to Be Right","Luther Ingramand","1972"
"1217","17","Heart of Gold","Neil Youngand","1972"
"1218","18","Betcha by Golly, Wow","The Stylisticsand","1972"
"1219","19","I'll Take You There","The Staple Singersand","1972"
"1220","20","Ben","Michael Jacksonand","1972"
"1221","21","The Lion Sleeps Tonight","Robert Johnand","1972"
"1222","22","Outa-Space","Billy Prestonand","1972"
"1223","23","Slippin' into Darkness","Warand","1972"
"1224","24","Long Cool Woman in a Black Dress","The Holliesand","1972"
"1225","25","How Do You Do","Mouth and MacNealand","1972"
"1226","26","Song Sung Blue","Neil Diamondand","1972"
"1227","27","A Horse with No Name","Americaand","1972"
"1228","28","Popcorn","Hot Butterand","1972"
"1229","29","Everybody Plays the Fool","The Main Ingredientand","1972"
"1230","30","Precious and Few","Climaxand","1972"
"1231","31","(Last Night) I Didn't Get to Sleep at All","The 5th Dimensionand","1972"
"1232","32","Nights in White Satin","The Moody Bluesand","1972"
"1233","33","Go All the Way","Raspberriesand","1972"
"1234","34","Too Late to Turn Back Now","Cornelius Brothers and Sister Roseand","1972"
"1235","35","Back Stabbers","The O'Jaysand","1972"
"1236","36","Down by the Lazy River","The Osmondsand","1972"
"1237","37","Sunshine","Jonathan Edwardsand","1972"
"1238","38","Starting All Over Again","Mel and Timand","1972"
"1239","39","Day After Day","Badfingerand","1972"
"1240","40","Rocket Man","Elton Johnand","1972"
"1241","41","Rockin' Robin","Michael Jacksonand","1972"
"1242","42","Beautiful Sunday","Daniel Booneand","1972"
"1243","43","Scorpio","Dennis Coffeyand","1972"
"1244","44","Morning Has Broken","Cat Stevensand","1972"
"1245","45","City of New Orleans","Arlo Guthrieand","1972"
"1246","46","Garden Party","Ricky Nelsonand","1972"
"1247","47","I Can See Clearly Now","Johnny Nashand","1972"
"1248","48","Burning Love","Elvis Presleyand","1972"
"1249","49","Clean Up Woman","Betty Wrightand","1972"
"1250","50","Hold Your Head Up","Argentand","1972"
"1251","51","Jungle Fever","The Chakachasand","1972"
"1252","52","Everything I Own","Breadand","1972"
"1253","53","In the Rain","The Dramaticsand","1972"
"1254","54","Look What You Done for Me","Al Greenand","1972"
"1255","55","The Happiest Girl in the Whole U.S.A.","Donna Fargoand","1972"
"1256","56","Bang a Gong (Get it On)","T. Rexand","1972"
"1257","57","Mother and Child Reunion","Paul Simonand","1972"
"1258","58","Where Is the Love","Roberta Flack and Donny Hathawayand","1972"
"1259","59","I'm Still in Love with You","Al Greenand","1972"
"1260","60","Layla","Derek and the Dominosand","1972"
"1261","61","Day Dreaming","Aretha Franklinand","1972"
"1262","62","The Way of Love","Cherand","1972"
"1263","63","Black and White","Three Dog Nightand","1972"
"1264","64","Sylvia's Mother","Dr. Hook and the Medicine Showand","1972"
"1265","65","Hurting Each Other","The Carpentersand","1972"
"1266","66","Coconut","Harry Nilssonand","1972"
"1267","67","Puppy Love","Donny Osmondand","1972"
"1268","68","You Don't Mess Around with Jim","Jim Croceand","1972"
"1269","69","Hot Rod Lincoln","Commander Cody and His Lost Planet Airmenand","1972"
"1270","70","A Cowboy's Work Is Never Done","Sonny and Cherand","1972"
"1271","71","Joy","Apollo 100and","1972"
"1272","72","Anticipation","Carly Simonand","1972"
"1273","73","Never Been to Spain","Three Dog Nightand","1972"
"1274","74","Kiss an Angel Good Mornin'","Charley Prideand","1972"
"1275","75","School's Out","Alice Cooperand","1972"
"1276","76","Saturday in the Park","Chicagoand","1972"
"1277","77","Drowning in the Sea of Love","Joe Simonand","1972"
"1278","78","Use Me","Bill Withersand","1972"
"1279","79","Family Affair","Sly and the Family Stoneand","1972"
"1280","80","Troglodyte (Cave Man)","The Jimmy Castor Bunchand","1972"
"1281","81","The Witch Queen of New Orleans","Redboneand","1972"
"1282","82","Freddie's Dead","Curtis Mayfieldand","1972"
"1283","83","Power of Love","Joe Simonand","1972"
"1284","84","Ain't Understanding Mellow","Jerry Butler and Brenda Lee Eagerand","1972"
"1285","85","Taxi","Harry Chapinand","1972"
"1286","86","Don't Say You Don't Remember","Beverly Bremersand","1972"
"1287","87","Sealed with a Kiss","Bobby Vintonand","1972"
"1288","88","I Saw the Light","Todd Rundgrenand","1972"
"1289","89","Motorcycle Mama","Sailcatand","1972"
"1290","90","Day by Day","Original Cast of Godspelland","1972"
"1291","91","Roundabout","Yesand","1972"
"1292","92","Doctor My Eyes","Jackson Browneand","1972"
"1293","93","I'd Like to Teach the World to Sing (In Perfect Harmony)","The New Seekersand","1972"
"1294","94","Vincent","Don McLeanand","1972"
"1295","95","Baby Let Me Take You (In My Arms)","The Detroit Emeraldsand","1972"
"1296","96","Speak to the Sky","Rick Springfieldand","1972"
"1297","97","I'd Like to Teach the World to Sing (In Perfect Harmony)","The Hillside Singersand","1972"
"1298","98","Walkin' in the Rain with the One I Love","Love Unlimitedand","1972"
"1299","99","Get on the Good Foot","James Brownand","1972"
"1300","100","Pop That Thang","The Isley Brothersand","1972"
"1301","1","Tie a Yellow Ribbon Round the Ole Oak Tree","Tony Orlando and Dawnand","1973"
"1302","2","Bad, Bad Leroy Brown","Jim Croceand","1973"
"1303","3","Killing Me Softly with His Song","Roberta Flackand","1973"
"1304","4","Let's Get It On","Marvin Gayeand","1973"
"1305","5","My Love","Paul McCartney and Wingsand","1973"
"1306","6","Why Me","Kris Kristoffersonand","1973"
"1307","7","Crocodile Rock","Elton Johnand","1973"
"1308","8","Will It Go Round in Circles","Billy Prestonand","1973"
"1309","9","You're So Vain","Carly Simonand","1973"
"1310","10","Touch Me in the Morning","Diana Rossand","1973"
"1311","11","The Night the Lights Went Out in Georgia","Vicki Lawrenceand","1973"
"1312","12","Playground in My Mind","Clint Holmesand","1973"
"1313","13","Brother Louie","Storiesand","1973"
"1314","14","Delta Dawn","Helen Reddyand","1973"
"1315","15","Me and Mrs. Jones","Billy Pauland","1973"
"1316","16","Frankenstein","The Edgar Winter Groupand","1973"
"1317","17","Drift Away","Dobie Grayand","1973"
"1318","18","Little Willy","Sweetand","1973"
"1319","19","You Are the Sunshine of My Life","Stevie Wonderand","1973"
"1320","20","Half-Breed","Cherand","1973"
"1321","21","That Lady","The Isley Brothersand","1973"
"1322","22","Pillow Talk","Sylvia Robinsonand","1973"
"1323","23","We're an American Band","Grand Funk Railroadand","1973"
"1324","24","Right Place Wrong Time","Dr. Johnand","1973"
"1325","25","Wildflower","Skylarkand","1973"
"1326","26","Superstition","Stevie Wonderand","1973"
"1327","27","Loves Me Like a Rock","Paul Simonand","1973"
"1328","28","The Morning After","Maureen McGovernand","1973"
"1329","29","Rocky Mountain High","John Denverand","1973"
"1330","30","Stuck in the Middle with You","Stealers Wheeland","1973"
"1331","31","Shambala","Three Dog Nightand","1973"
"1332","32","Love Train","The O'Jaysand","1973"
"1333","33","I'm Gonna Love You Just a Little More Baby","Barry Whiteand","1973"
"1334","34","Say, Has Anybody Seen My Sweet Gypsy Rose","Tony Orlando and Dawnand","1973"
"1335","35","Keep on Truckin'","Eddie Kendricksand","1973"
"1336","36","Danny's Song","Anne Murrayand","1973"
"1337","37","Dancing in the Moonlight","King Harvestand","1973"
"1338","38","Monster Mash","Bobby 'Boris' Pickettand","1973"
"1339","39","Natural High","Bloodstoneand","1973"
"1340","40","Diamond Girl","Seals and Croftsand","1973"
"1341","41","Long Train Runnin'","The Doobie Brothersand","1973"
"1342","42","Give Me Love (Give Me Peace on Earth)","George Harrisonand","1973"
"1343","43","If You Want Me to Stay","Sly and the Family Stoneand","1973"
"1344","44","Daddy's Home","Jermaine Jacksonand","1973"
"1345","45","Neither One of Us (Wants to Be the First to Say Goodbye)","Gladys Knight and the Pipsand","1973"
"1346","46","I'm Doin' Fine Now","New York Cityand","1973"
"1347","47","Could It Be I'm Falling in Love","The Spinnersand","1973"
"1348","48","Daniel","Elton Johnand","1973"
"1349","49","Midnight Train to Georgia","Gladys Knight and the Pipsand","1973"
"1350","50","Smoke on the Water","Deep Purpleand","1973"
"1351","51","The Cover of Rolling Stone","Dr. Hook and The Medicine Showand","1973"
"1352","52","Behind Closed Doors","Charlie Richand","1973"
"1353","53","Your Mama Don't Dance","Loggins and Messinaand","1973"
"1354","54","Feelin' Stronger Every Day","Chicagoand","1973"
"1355","55","The Cisco Kid","Warand","1973"
"1356","56","Live and Let Die","Paul McCartney and Wingsand","1973"
"1357","57","Oh, Babe, What Would You Say?","Hurricane Smithand","1973"
"1358","58","I Believe in You (You Believe in Me)","Johnnie Taylorand","1973"
"1359","59","Sing","The Carpentersand","1973"
"1360","60","Ain't No Woman (Like the One I've Got)","The Four Topsand","1973"
"1361","61","Dueling Banjos","Eric Weissberg and Steve Mandelland","1973"
"1362","62","Higher Ground","Stevie Wonderand","1973"
"1363","63","Here I Am (Come and Take Me)","Al Greenand","1973"
"1364","64","My Maria","B.W. Stevensonand","1973"
"1365","65","Superfly","Curtis Mayfieldand","1973"
"1366","66","Last Song","Edward Bearand","1973"
"1367","67","Get Down","Gilbert O'Sullivanand","1973"
"1368","68","Reelin' in the Years","Steely Danand","1973"
"1369","69","Hocus Pocus","Focusand","1973"
"1370","70","Yesterday Once More","The Carpentersand","1973"
"1371","71","Boogie Woogie Bugle Boy","Bette Midlerand","1973"
"1372","72","Clair","Gilbert O'Sullivanand","1973"
"1373","73","Do It Again","Steely Danand","1973"
"1374","74","Kodachrome","Paul Simonand","1973"
"1375","75","Why Can't We Live Together","Timmy Thomasand","1973"
"1376","76","Do You Wanna Dance?","Bette Midlerand","1973"
"1377","77","So Very Hard to Go","Tower of Powerand","1973"
"1378","78","Rockin' Pneumonia and the Boogie Woogie Flu","Johnny Riversand","1973"
"1379","79","Ramblin' Man","The Allman Brothers Bandand","1973"
"1380","80","Masterpiece","The Temptationsand","1973"
"1381","81","Peaceful","Helen Reddyand","1973"
"1382","82","One of a Kind (Love Affair)","The Spinnersand","1973"
"1383","83","Funny Face","Donna Fargoand","1973"
"1384","84","Funky Worm","Ohio Playersand","1973"
"1385","85","Angie","The Rolling Stonesand","1973"
"1386","86","Jambalaya (On the Bayou)","Blue Ridge Rangersand","1973"
"1387","87","Don't Expect Me to Be Your Friend","Loboand","1973"
"1388","88","Break Up to Make Up","The Stylisticsand","1973"
"1389","89","Daisy a Day","Jud Strunkand","1973"
"1390","90","Also Sprach Zarathustra (2001)","Deodatoand","1973"
"1391","91","Stir It Up","Johnny Nashand","1973"
"1392","92","Money","Pink Floydand","1973"
"1393","93","Gypsy Man","Warand","1973"
"1394","94","The World Is a Ghetto","","1973"
"1395","95","Yes We Can Can","The Pointer Sistersand","1973"
"1396","96","Free Ride","The Edgar Winter Groupand","1973"
"1397","97","Space Oddity","David Bowieand","1973"
"1398","98","It Never Rains in Southern California","Albert Hammondand","1973"
"1399","99","The Twelfth of Never","Donny Osmondand","1973"
"1400","100","Papa Was a Rollin' Stone","The Temptationsand","1973"
"1401","1","The Way We Were","Barbra Streisandand","1974"
"1402","2","Seasons in the Sun","Terry Jacksand","1974"
"1403","3","Love's Theme","Love Unlimited Orchestraand","1974"
"1404","4","Come and Get Your Love","Redboneand","1974"
"1405","5","Dancing Machine","The Jackson 5and","1974"
"1406","6","The Loco-Motion","Grand Funk Railroadand","1974"
"1407","7","TSOP (The Sound of Philadelphia)","MFSBand","1974"
"1408","8","The Streak","Ray Stevensand","1974"
"1409","9","Bennie and the Jets","Elton Johnand","1974"
"1410","10","One Hell of a Woman","Mac Davisand","1974"
"1411","11","Until You Come Back to Me (That's What I'm Gonna Do)","Aretha Franklinand","1974"
"1412","12","Jungle Boogie","Kool and the Gangand","1974"
"1413","13","Midnight at the Oasis","Maria Muldaurand","1974"
"1414","14","You Make Me Feel Brand New","The Stylisticsand","1974"
"1415","15","Show and Tell","Al Wilsonand","1974"
"1416","16","Spiders and Snakes","Jim Staffordand","1974"
"1417","17","Rock On","David Essexand","1974"
"1418","18","Sunshine on My Shoulders","John Denverand","1974"
"1419","19","Sideshow","Blue Magicand","1974"
"1420","20","Hooked on a Feeling","Blue Swedeand","1974"
"1421","21","Billy Don't Be a Hero","Bo Donaldson and The Heywoodsand","1974"
"1422","22","Band on the Run","Paul McCartney and Wingsand","1974"
"1423","23","The Most Beautiful Girl","Charlie Richand","1974"
"1424","24","Time in a Bottle","Jim Croceand","1974"
"1425","25","Annie's Song","John Denverand","1974"
"1426","26","Let Me Be There","Olivia Newton-Johnand","1974"
"1427","27","Sundown","Gordon Lightfootand","1974"
"1428","28","(You're) Having My Baby","Paul Ankaand","1974"
"1429","29","Rock Me Gently","Andy Kimand","1974"
"1430","30","Boogie Down","Eddie Kendricksand","1974"
"1431","31","You're Sixteen","Ringo Starrand","1974"
"1432","32","If You Love Me (Let Me Know)","Olivia Newton-Johnand","1974"
"1433","33","Dark Lady","Cherand","1974"
"1434","34","Best Thing That Ever Happened to Me","Gladys Knight and the Pipsand","1974"
"1435","35","Feel Like Makin' Love","Roberta Flackand","1974"
"1436","36","Just Don't Want to Be Lonely","The Main Ingredientand","1974"
"1437","37","Nothing from Nothing","Billy Prestonand","1974"
"1438","38","Rock Your Baby","George McCraeand","1974"
"1439","39","Top of the World","The Carpentersand","1974"
"1440","40","The Joker","Steve Miller Bandand","1974"
"1441","41","I've Got to Use My Imagination","Gladys Knight and the Pipsand","1974"
"1442","42","The Show Must Go On","Three Dog Nightand","1974"
"1443","43","Rock the Boat","The Hues Corporationand","1974"
"1444","44","Smokin' in the Boys Room","Brownsville Stationand","1974"
"1445","45","Living for the City","Stevie Wonderand","1974"
"1446","46","Then Came You","Dionne Warwick and The Spinnersand","1974"
"1447","47","The Night Chicago Died","Paper Laceand","1974"
"1448","48","The Entertainer","Marvin Hamlischand","1974"
"1449","49","Waterloo","ABBAand","1974"
"1450","50","The Air That I Breathe","The Holliesand","1974"
"1451","51","Rikki Don't Lose That Number","Steely Danand","1974"
"1452","52","Mockingbird","Carly Simon and James Taylorand","1974"
"1453","53","Help Me","Joni Mitchelland","1974"
"1454","54","You Won't See Me","Anne Murrayand","1974"
"1455","55","Never, Never Gonna Give You Up","Barry Whiteand","1974"
"1456","56","Tell Me Something Good","Rufus and Chaka Khanand","1974"
"1457","57","You and Me Against the World","Helen Reddyand","1974"
"1458","58","Rock and Roll Heaven","The Righteous Brothersand","1974"
"1459","59","Hollywood Swinging","Kool and the Gangand","1974"
"1460","60","Be Thankful for What You Got","William DeVaughnand","1974"
"1461","61","Hang on in There Baby","Johnny Bristoland","1974"
"1462","62","Eres t<U+00FA>","Mocedadesand","1974"
"1463","63","Takin' Care of Business","Bachman-Turner Overdriveand","1974"
"1464","64","Radar Love","Golden Earringand","1974"
"1465","65","Please Come to Boston","Dave Logginsand","1974"
"1466","66","Keep on Smilin'","Wet Willieand","1974"
"1467","67","Lookin' for a Love","Bobby Womackand","1974"
"1468","68","Put Your Hands Together","The O'Jaysand","1974"
"1469","69","On and On","Gladys Knight and the Pipsand","1974"
"1470","70","Oh Very Young","Cat Stevensand","1974"
"1471","71","Leave Me Alone (Ruby Red Dress)","Helen Reddyand","1974"
"1472","72","Goodbye Yellow Brick Road","Elton Johnand","1974"
"1473","73","(I've Been) Searchin' So Long","Chicagoand","1974"
"1474","74","Oh My My","Ringo Starrand","1974"
"1475","75","For the Love of Money","The O'Jaysand","1974"
"1476","76","I Shot the Sheriff","Eric Claptonand","1974"
"1477","77","Jet","Paul McCartney and Wingsand","1974"
"1478","78","Don't Let the Sun Go Down on Me","Elton Johnand","1974"
"1479","79","Tubular Bells","Mike Oldfieldand","1974"
"1480","80","A Love Song","Anne Murrayand","1974"
"1481","81","I'm Leaving It (All) Up to You","Donny and Marie Osmondand","1974"
"1482","82","Hello It's Me","Todd Rundgrenand","1974"
"1483","83","I Love","Tom T. Halland","1974"
